	idade_ingresso_universidade	idade_colacao_grau	media_global_atual_discente	media_global_atual_matriz_curricular	quantidade_trancamentos	numero_de_reprovacoes	medias_dez_primeiras_disciplinas	target
142	22.0	18.0	6.93	4.97	6.7	4.0	0.0	SIM
143	24.0	18.0	6.34	4.97	7.88	15.0	0.0	NÃO
144	24.0	19.0	6.5	4.97	6.7799999999999985	12.0	0.0	NÃO
145	22.0	18.0	8.44	4.97	8.720000000000002	0.0	0.0	SIM
146	24.0	18.0	6.19	4.97	7.119999999999999	11.0	0.0	NÃO
147	26.0	21.0	6.83	4.97	7.19	9.0	0.0	NÃO
148	26.0	22.0	6.13	4.97	5.633333333333333	6.0	1.0	SIM
149	22.0	17.0	7.05	4.97	8.059999999999999	8.0	0.0	NÃO
150	23.0	18.0	7.35	4.97	7.43	3.0	0.0	NÃO
151	23.0	17.0	6.15	4.97	6.522222222222222	12.0	0.0	NÃO
152	24.0	18.0	6.1	4.97	7.27	16.0	0.0	NÃO
153	25.0	19.0	6.37	4.97	6.55	16.0	0.0	NÃO
154	23.0	18.0	6.65	4.97	7.040000000000001	7.0	0.0	NÃO
155	32.0	27.0	7.38	4.97	7.9833333333333325	5.0	0.0	NÃO
156	21.0	17.0	7.27	4.97	6.9	4.0	0.0	SIM
157	23.0	18.0	6.62	4.97	7.07	8.0	0.0	NÃO
158	24.0	20.0	8.65	4.97	0.0	0.0	0.0	SIM
159	24.0	20.0	6.54	4.97	6.7	9.0	0.0	SIM
160	24.0	19.0	6.95	4.97	7.639999999999999	9.0	0.0	NÃO
161	24.0	20.0	6.64	4.97	6.562500000000001	8.0	0.0	SIM
162	22.0	18.0	6.8	4.97	6.980000000000001	8.0	0.0	SIM
163	22.0	17.0	6.3	4.97	6.38	15.0	0.0	NÃO
164	24.0	19.0	7.03	4.97	8.23	6.0	0.0	NÃO
165	22.0	18.0	7.7	4.97	8.23	1.0	0.0	SIM
166	23.0	19.0	7.86	4.97	8.83	2.0	0.0	SIM
167	22.0	18.0	7.52	4.97	7.49	1.0	0.0	SIM
168	20.0	19.0	7.86	4.97	9.4	0.0	0.0	NÃO
169	26.0	25.0	5.6	4.97	0.0	1.0	0.0	NÃO
